p,e1,e2
0.53674,-0.88167,-0.89256
0.53814,-0.88106,-0.89193
0.53954,-0.88045,-0.89130
0.54094,-0.87984,-0.89067
0.54234,-0.87922,-0.89004
0.54374,-0.87861,-0.88941
0.54515,-0.87799,-0.88877
0.54655,-0.87737,-0.88813
0.54795,-0.87676,-0.88749
0.54935,-0.87614,-0.88685
0.55075,-0.87551,-0.88621
0.55215,-0.87489,-0.88557
0.55355,-0.87426,-0.88492
0.55495,-0.87364,-0.88427
0.55636,-0.87301,-0.88363
0.55776,-0.87238,-0.88298
0.55916,-0.87175,-0.88232
0.56056,-0.87112,-0.88167
0.56196,-0.87048,-0.88101
0.56336,-0.86985,-0.88036
0.56476,-0.86921,-0.87970
0.56617,-0.86857,-0.87904
0.56757,-0.86793,-0.87838
0.56897,-0.86729,-0.87771
0.57037,-0.86665,-0.87705
0.57177,-0.86601,-0.87638
0.57317,-0.86536,-0.87571
0.57457,-0.86471,-0.87504
0.57598,-0.86407,-0.87437
0.57738,-0.86342,-0.87370
0.57878,-0.86276,-0.87302
0.58018,-0.86211,-0.87234
0.58158,-0.86146,-0.87167
0.58298,-0.86080,-0.87099
0.58438,-0.86014,-0.87030
0.58579,-0.85949,-0.86962
0.58719,-0.85883,-0.86894
0.58859,-0.85817,-0.86825
0.58999,-0.85750,-0.86756
0.59139,-0.85684,-0.86687
0.59279,-0.85617,-0.86618
0.59419,-0.85551,-0.86549
0.59560,-0.85484,-0.86479
0.59700,-0.85417,-0.86410
0.59840,-0.85350,-0.86340
0.59980,-0.85282,-0.86270
0.60120,-0.85215,-0.86200
0.60260,-0.85147,-0.86129
0.60400,-0.85080,-0.86059
0.60541,-0.85012,-0.85988
0.60681,-0.84944,-0.85918
0.60821,-0.84876,-0.85847
0.60961,-0.84807,-0.85775
0.61101,-0.84739,-0.85704
0.61241,-0.84671,-0.85633
0.61381,-0.84602,-0.85561
0.61522,-0.84533,-0.85489
0.61662,-0.84464,-0.85417
0.61802,-0.84395,-0.85345
0.61942,-0.84326,-0.85273
0.62082,-0.84256,-0.85201
0.62222,-0.84187,-0.85128
0.62362,-0.84117,-0.85055
0.62503,-0.84047,-0.84982
0.62643,-0.83977,-0.84909
0.62783,-0.83907,-0.84836
0.62923,-0.83837,-0.84763
0.63063,-0.83767,-0.84689
0.63203,-0.83696,-0.84615
0.63343,-0.83625,-0.84542
0.63483,-0.83555,-0.84467
0.63624,-0.83484,-0.84393
0.63764,-0.83413,-0.84319
0.63904,-0.83341,-0.84244
0.64044,-0.83270,-0.84170
0.64184,-0.83199,-0.84095
0.64324,-0.83127,-0.84020
0.64464,-0.83055,-0.83945
0.64605,-0.82983,-0.83869
0.64745,-0.82911,-0.83794
0.64885,-0.82839,-0.83718
0.65025,-0.82767,-0.83642
0.65165,-0.82694,-0.83566
0.65305,-0.82622,-0.83490
0.65445,-0.82549,-0.83414
0.65586,-0.82476,-0.83337
0.65726,-0.82403,-0.83260
0.65866,-0.82330,-0.83183
0.66006,-0.82257,-0.83106
0.66146,-0.82184,-0.83029
0.66286,-0.82110,-0.82952
0.66426,-0.82036,-0.82874
0.66567,-0.81963,-0.82797
0.66707,-0.81889,-0.82719
0.66847,-0.81815,-0.82641
0.66987,-0.81740,-0.82563
0.67127,-0.81666,-0.82485
0.67267,-0.81591,-0.82406
