p,e1,e2
0.60120,-2.91789,-3.02302
0.60260,-2.91755,-3.02260
0.60400,-2.91721,-3.02218
0.60541,-2.91687,-3.02175
0.60681,-2.91653,-3.02133
0.60821,-2.91619,-3.02090
0.60961,-2.91585,-3.02047
0.61101,-2.91551,-3.02005
0.61241,-2.91516,-3.01962
0.61381,-2.91482,-3.01919
0.61522,-2.91448,-3.01876
0.61662,-2.91414,-3.01833
0.61802,-2.91379,-3.01789
0.61942,-2.91345,-3.01746
0.62082,-2.91311,-3.01703
0.62222,-2.91276,-3.01659
0.62362,-2.91242,-3.01615
0.62503,-2.91207,-3.01572
0.62643,-2.91173,-3.01528
0.62783,-2.91138,-3.01484
0.62923,-2.91104,-3.01440
0.63063,-2.91069,-3.01396
0.63203,-2.91035,-3.01351
0.63343,-2.91000,-3.01307
0.63483,-2.90965,-3.01263
0.63624,-2.90931,-3.01218
0.63764,-2.90896,-3.01173
0.63904,-2.90861,-3.01129
0.64044,-2.90827,-3.01084
0.64184,-2.90792,-3.01039
0.64324,-2.90757,-3.00994
0.64464,-2.90722,-3.00949
0.64605,-2.90688,-3.00904
0.64745,-2.90653,-3.00858
0.64885,-2.90618,-3.00813
0.65025,-2.90583,-3.00767
0.65165,-2.90548,-3.00722
0.65305,-2.90513,-3.00676
0.65445,-2.90478,-3.00630
0.65586,-2.90444,-3.00584
0.65726,-2.90409,-3.00538
0.65866,-2.90374,-3.00492
0.66006,-2.90339,-3.00446
0.66146,-2.90304,-3.00400
0.66286,-2.90269,-3.00353
0.66426,-2.90234,-3.00307
0.66567,-2.90199,-3.00260
0.66707,-2.90164,-3.00214
0.66847,-2.90129,-3.00167
0.66987,-2.90093,-3.00120
0.67127,-2.90058,-3.00073
0.67267,-2.90023,-3.00026
0.67407,-2.89988,-2.99979
0.67548,-2.89953,-2.99931
0.67688,-2.89918,-2.99884
0.67828,-2.89883,-2.99836
0.67968,-2.89848,-2.99789
0.68108,-2.89813,-2.99741
0.68248,-2.89777,-2.99693
0.68388,-2.89742,-2.99646
0.68529,-2.89707,-2.99598
0.68669,-2.89672,-2.99550
0.68809,-2.89637,-2.99501
0.68949,-2.89602,-2.99453
0.69089,-2.89566,-2.99405
0.69229,-2.89531,-2.99356
0.69369,-2.89496,-2.99308
0.69510,-2.89461,-2.99259
0.69650,-2.89426,-2.99210
0.69790,-2.89390,-2.99161
0.69930,-2.89355,-2.99113
0.70070,-2.89320,-2.99063
0.70210,-2.89285,-2.99014
0.70350,-2.89250,-2.98965
0.70490,-2.89215,-2.98916
0.70631,-2.89179,-2.98866
0.70771,-2.89144,-2.98817
0.70911,-2.89109,-2.98767
0.71051,-2.89074,-2.98717
0.71191,-2.89039,-2.98668
0.71331,-2.89004,-2.98618
0.71471,-2.88968,-2.98568
0.71612,-2.88933,-2.98517
0.71752,-2.88898,-2.98467
0.71892,-2.88863,-2.98417
0.72032,-2.88828,-2.98366
0.72172,-2.88793,-2.98316
0.72312,-2.88758,-2.98265
0.72452,-2.88723,-2.98215
0.72593,-2.88687,-2.98164
0.72733,-2.88652,-2.98113
0.72873,-2.88617,-2.98062
0.73013,-2.88582,-2.98011
0.73153,-2.88547,-2.97960
0.73293,-2.88512,-2.97908
0.73433,-2.88477,-2.97857
0.73574,-2.88442,-2.97805
0.73714,-2.88407,-2.97754
0.73854,-2.88372,-2.97702
0.73994,-2.88338,-2.97650
0.74134,-2.88303,-2.97598
0.74274,-2.88268,-2.97546
0.74414,-2.88233,-2.97494
0.74555,-2.88198,-2.97442
0.74695,-2.88163,-2.97390
0.74835,-2.88128,-2.97337
0.74975,-2.88094,-2.97285
0.75115,-2.88059,-2.97232
0.75255,-2.88024,-2.97180
0.75395,-2.87989,-2.97127
0.75536,-2.87955,-2.97074
0.75676,-2.87920,-2.97021
0.75816,-2.87886,-2.96968
0.75956,-2.87851,-2.96915
0.76096,-2.87816,-2.96861
0.76236,-2.87782,-2.96808
0.76376,-2.87747,-2.96755
0.76517,-2.87713,-2.96701
0.76657,-2.87678,-2.96647
0.76797,-2.87644,-2.96594
0.76937,-2.87610,-2.96540
0.77077,-2.87575,-2.96486
0.77217,-2.87541,-2.96432
0.77357,-2.87507,-2.96378
0.77497,-2.87473,-2.96323
0.77638,-2.87438,-2.96269
0.77778,-2.87404,-2.96215
0.77918,-2.87370,-2.96160
0.78058,-2.87336,-2.96105
0.78198,-2.87302,-2.96051
0.78338,-2.87268,-2.95996
0.78478,-2.87234,-2.95941
0.78619,-2.87200,-2.95886
0.78759,-2.87166,-2.95831
0.78899,-2.87132,-2.95775
0.79039,-2.87099,-2.95720
0.79179,-2.87065,-2.95665
