alphas,e1,e2
2.03003,-2.03003,-2.08195
2.03604,-2.03604,-2.08826
2.04204,-2.04204,-2.09457
2.04805,-2.04805,-2.10089
2.05405,-2.05405,-2.10721
2.06006,-2.06006,-2.11352
2.06607,-2.06607,-2.11984
2.07207,-2.07207,-2.12616
2.07808,-2.07808,-2.13248
2.08408,-2.08408,-2.13880
2.09009,-2.09009,-2.14512
2.09610,-2.09610,-2.15145
2.10210,-2.10210,-2.15777
2.10811,-2.10811,-2.16409
2.11411,-2.11411,-2.17042
2.12012,-2.12012,-2.17675
2.12613,-2.12613,-2.18307
2.13213,-2.13213,-2.18940
2.13814,-2.13814,-2.19573
2.14414,-2.14414,-2.20206
2.15015,-2.15015,-2.20839
2.15616,-2.15616,-2.21472
2.16216,-2.16216,-2.22106
2.16817,-2.16817,-2.22739
2.17417,-2.17417,-2.23372
2.18018,-2.18018,-2.24006
2.18619,-2.18619,-2.24640
2.19219,-2.19219,-2.25273
2.19820,-2.19820,-2.25907
2.20420,-2.20420,-2.26541
2.21021,-2.21021,-2.27175
2.21622,-2.21622,-2.27809
2.22222,-2.22222,-2.28443
2.22823,-2.22823,-2.29078
2.23423,-2.23423,-2.29712
2.24024,-2.24024,-2.30346
2.24625,-2.24625,-2.30981
2.25225,-2.25225,-2.31616
2.25826,-2.25826,-2.32250
2.26426,-2.26426,-2.32885
2.27027,-2.27027,-2.33520
2.27628,-2.27628,-2.34155
2.28228,-2.28228,-2.34790
2.28829,-2.28829,-2.35425
2.29429,-2.29429,-2.36061
2.30030,-2.30030,-2.36696
2.30631,-2.30631,-2.37331
2.31231,-2.31231,-2.37967
2.31832,-2.31832,-2.38603
2.32432,-2.32432,-2.39238
2.33033,-2.33033,-2.39874
2.33634,-2.33634,-2.40510
2.34234,-2.34234,-2.41146
2.34835,-2.34835,-2.41782
2.35435,-2.35435,-2.42418
2.36036,-2.36036,-2.43055
2.36637,-2.36637,-2.43691
2.37237,-2.37237,-2.44327
2.37838,-2.37838,-2.44964
2.38438,-2.38438,-2.45601
2.39039,-2.39039,-2.46237
2.39640,-2.39640,-2.46874
2.40240,-2.40240,-2.47511
2.40841,-2.40841,-2.48148
2.41441,-2.41441,-2.48785
2.42042,-2.42042,-2.49422
2.42643,-2.42643,-2.50060
2.43243,-2.43243,-2.50697
2.43844,-2.43844,-2.51334
